vintage_year,fund_count,avg_commitment_mm,total_commitment_mm,avg_irr,avg_multiple,min_irr,max_irr,min_multiple,max_multiple
1981,3,66.70,200.10,0.0970,1.9133,0.0046,0.2250,1.0000,3.4400
1982,2,5.00,10.00,0.0031,1.0500,-0.0164,0.0225,0.9000,1.2000
1983,7,13.05,91.32,0.1440,1.9286,-0.0352,0.3970,0.8000,3.3000
1984,6,57.43,344.60,0.1650,2.9517,0.0169,0.2919,1.1000,4.4000
1985,5,44.63,223.13,0.1183,2.6600,0.0849,0.1680,1.9000,3.4000
1986,5,59.53,297.65,0.2094,3.2500,0.0191,0.4317,1.2000,5.5000
1987,7,247.97,1735.77,0.0934,1.5965,0.0547,0.1473,1.1157,2.2000
1988,2,25.00,50.00,0.3715,4.3500,0.3214,0.4215,3.6000,5.1000
1989,2,23.80,47.60,-0.1526,1.1500,-0.4207,0.1155,0.0000,2.3000
1990,4,15.93,63.72,0.0554,1.4600,-0.0944,0.1790,0.7000,2.1900
1991,3,43.33,130.00,0.3010,2.6933,0.2170,0.3520,2.0700,3.4100
1992,1,50.00,50.00,0.2710,1.6700,0.2710,0.2710,1.6700,1.6700
1993,6,133.77,802.60,0.2202,2.1983,0.0570,0.4083,1.4000,3.3700
1994,12,40.21,482.52,0.1923,2.5692,-0.0850,0.7323,0.6600,8.4000
1995,13,41.57,540.37,0.1209,1.5615,-0.0854,0.4550,0.7000,2.7000
1996,15,53.44,801.66,0.1792,1.7120,0.0280,0.7850,1.1000,2.7800
1997,27,170.74,4609.96,0.2098,1.7520,-0.0117,1.3558,0.0900,4.7000
1998,41,107.57,4410.20,0.0966,1.4486,-0.1352,0.5533,0.5000,3.6000
1999,37,110.29,4080.84,0.0650,1.3909,-0.4056,0.2457,0.1000,3.1000
2000,45,130.92,5891.61,0.1017,1.5884,-0.1670,0.3317,0.2700,2.8000
2001,43,172.75,7428.16,0.1755,1.7268,-0.6990,0.8300,0.2800,2.9041
2002,18,234.49,4220.82,0.2531,1.5345,0.1150,0.4650,0.7523,2.1000
2003,29,103.84,3011.36,0.1129,1.6166,-0.0377,0.3595,0.3479,2.8107
2004,43,116.96,5029.13,0.1542,1.9822,-0.0950,0.6690,0.4000,13.8200
2005,75,177.72,13329.28,0.0878,1.4999,-0.0500,0.4270,0.7597,2.8000
2006,96,232.49,22318.88,0.0618,1.4074,-0.1020,0.1920,0.3986,3.2000
2007,94,207.47,19501.96,0.0866,1.6235,-0.1870,0.2940,0.2947,3.9967
2008,85,200.79,17067.52,0.1110,1.7576,-0.1786,0.2650,0.2858,4.3500
2009,38,109.78,4171.46,0.0916,1.5957,-0.0290,0.3180,0.6940,3.4883
2010,42,90.39,3796.53,0.1133,1.8228,-0.2571,0.5840,0.2000,3.7901
2011,89,137.02,12194.47,0.1274,2.8564,-0.2560,0.5350,0.2000,32.5867
2012,77,164.07,12633.38,0.1436,1.8283,-0.1906,0.4070,0.2600,5.5894
2013,76,172.23,13089.71,0.1400,1.8998,-0.0310,0.3820,0.8773,4.0491
2014,83,156.43,12983.56,0.1395,1.9580,-0.1036,0.7100,0.4726,6.1100
2015,118,183.01,21595.55,0.1510,2.0258,-0.0186,0.3010,0.8904,5.5871
2016,93,236.53,21997.33,0.1451,1.9095,0.0110,0.4890,1.0398,7.7900
2017,88,253.98,22350.37,0.1730,1.8885,-0.1230,0.8250,0.6200,4.9629
2018,125,230.78,28847.37,0.1640,1.7059,0.0490,0.6052,0.7289,3.4534
2019,137,232.54,31858.01,0.1420,1.5313,-0.0490,0.9126,0.6358,3.5289
2020,122,302.74,36934.65,0.1702,1.3960,-0.0160,1.7679,0.2250,2.8000
2021,174,296.18,51535.08,0.1006,1.2299,-0.2060,0.5685,0.0000,2.0934
2022,129,236.91,30561.50,0.1117,1.1664,-0.2271,0.4052,0.6401,1.8635
2023,172,252.43,43418.35,0.1477,1.1527,-0.1204,0.4444,0.4819,2.0132
2024,137,222.52,30484.81,0.1339,1.0601,-0.3964,0.6320,0.0003,2.3280
2025,57,194.92,11110.34,0.0134,0.9368,-0.3722,0.9460,0.0000,1.4073
